书号	书名	类别	作者	出版社	总库存	已出借册数
I003	数据管理与模型分析	IT	杨菊华	中国人民大学出版社 	6	3
I004	MATLAB实用教程	IT	Holly 	电子工业出版社	7	4
I005	数学之美	IT	吴军	电子工业出版社 	7	3
I006	计算机编程导论	IT	赵家刚	人民邮电出版社	7	5
I007	数据挖掘导论	IT	Michael 	人民邮电出版社 	7	2
I008	Python基础教程	IT	Magnus 	人民邮电出版社 	5	3
I009	LATEX入门	IT	刘海洋	电子工业出版社 	4	2
I010	大话数据结构	IT	程杰	清华大学出版社 	8	8
I011	计算机网络	IT	谢希仁	电子工业出版社 	14	9
I012	信号与系统	IT	谷源涛	高等教育出版社 	5	3
I013	JavaScript高级程序设计	IT	Nicholas 	人民邮电出版社 	8	7
I014	数字图像处理	IT	Rafael 	电子工业出版社 	9	9
I015	Java编程思想	IT	Bruce 	机械工业出版社 	21	9
I016	R语言与统计分析	IT	汤银才	高等教育出版社 	5	4
I017	C++图形与游戏编程基础	IT	Tony 	清华大学出版社 	7	5
I018	学通PHP的24堂课	IT	潘凯华	清华大学出版社 	28	8
I019	深入理解计算机系统	IT	Randal 	机械工业出版社 	6	1
I020	计算机程序的构造和解释	IT	Harold 	机械工业出版社 	7	4
L001	藏地密码	Literature	何马	重庆出版社 	57	40
L002	鹿鼎记	Literature	金庸	广州出版社 	46	30
L003	倾城之恋	Literature	张爱玲	北京十月文艺出版社 	9	7
L004	我所理解的生活	Literature	韩寒	浙江文艺出版社 	9	4
L005	我不是教你诈	Literature	 刘墉	天津教育出版社 	18	9
L006	平凡的世界	Literature	路遥	人民文学出版社 	18	10
L007	陆小凤传奇系列	Literature	古龙	太白文艺出版社 	15	10
L008	基督山伯爵	Literature	大仲马	长江文艺出版社 	14	12
L009	且听风吟	Literature	村上春树	上海译文出版社 	5	4
L010	平凹四书	Literature	贾平凹	人民文学出版社 	12	10
L011	浮世浮城	Literature	辛夷坞	江苏文艺出版社 	10	8
L012	谋杀似水年华	Literature	蔡骏	南海出版公司 	8	5
L013	悲惨世界	Literature	雨果	长江文艺出版社 	14	6
L014	傲慢与偏见	Literature	奥斯汀	上海三联书店 	13	6
L015	活着	Literature	余华	作家出版社 	5	5
L016	魔戒	Literature	托尔金	译林出版社 	24	21
L017	黄金时代	Literature	王小波	北京出版集团公司 	6	4
L018	素履之往	Literature	木心	广西师范大学出版社 	10	4
L019	达·芬奇密码	Literature	布朗	上海人民出版社 	10	7
L020	红高粱	Literature	莫言	花城出版社 	7	5
M001	孙子兵法解析	Military	任力	五洲传播出版社	2	2
M002	战争史笔记	Military	朱增泉	人民文学出版社	10	5
M003	三十六计	Military	禹谦	中华书局	6	5
M004	百年航母	Military	张召忠	广东经济出版社	4	4
M005	海权论	Military	马汉	中国言实出版社	4	3
M006	旧日本海军舰船	Military	沼风	电脑报电子音像出版社 	6	3
M007	国防生任职参考	Military	李春雷	中国海洋大学出版社	2	1
M008	战争论	Military	克劳塞维茨	陕西人民出版社 	8	2
M009	盛世狼烟	Military	戴旭	新华出版社	3	2
M010	蓝色争锋	Military	王生荣	海潮出版社	2	2
M011	中央苏区军事史	Military	凌步机	中国社会科学出版社	3	2
M012	野外生存指南	Military	彼得	黑龙江科学技术出版社 	6	2
M013	美军制式单兵武器大全	Military	江泓	人民邮电出版社	2	0
M014	近代国造舰船志	Military	陈悦	山东画报出版社	3	2
M015	二战苏联海军史	Military	吴荣华	人民日报出版社	2	1
M016	明朝海上力量建设	Military	何锋	厦门大学出版社	4	2
M017	海权对大国兴衰的历史影响	Military	王生荣	海潮出版社	1	0
M018	二战十大著名战役	Military	胡明峰	哈尔滨出版社	2	0
M019	战争与大国崛起	Military	邵永灵	辽宁人民出版社	4	1
M020	心书:中国将才第一书	Military	诸葛亮	经济日报出版社	4	2
